stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
ASIANPAINT.NS,0.6455,0.0787,0.1276,0.021,0.24,0.0813,0.55,1.0,0.0457,0.4,2025-09-08,2025-09-07 19:42:04
AMBER.NS,0.6455,0.1334,0.149,0.131,0.138,0.101,0.5667,0.5,0.2039,0.2,2025-09-08,2025-09-07 19:42:04
DATAPATTNS.NS,0.645,0.3181,-0.1349,-0.0193,-0.1061,0.3133,0.55,0.0,0.0229,0.0,2025-09-08,2025-09-07 19:42:05
JKLAKSHMI.NS,0.6448,0.1297,0.1079,0.0358,0.1124,0.1475,0.5,0.5,0.1958,0.4,2025-09-08,2025-09-07 19:42:05
RADICO.NS,0.6445,0.1619,0.0486,-0.0205,0.1049,0.1665,0.55,0.5,0.1733,0.4,2025-09-08,2025-09-07 19:42:04
MHRIL.NS,0.6416,0.1843,0.0517,0.0094,0.0536,0.0981,0.4833,1.0,-0.0125,0.2,2025-09-08,2025-09-07 19:42:05
STARHEALTH.NS,0.6393,0.1606,0.0498,0.014,-0.0196,0.1304,0.4333,1.0,-0.0262,0.0,2025-09-08,2025-09-07 19:42:04
ZYDUSLIFE.NS,0.6383,0.1625,0.0455,0.0265,0.0692,0.0961,0.5833,1.0,0.0796,0.4,2025-09-08,2025-09-07 19:42:04
APOLLOTYRE.NS,0.638,0.1134,0.0947,0.1189,0.0772,0.1001,0.5,1.0,-0.0473,-0.2,2025-09-08,2025-09-07 19:42:04
MPHASIS.NS,0.6372,0.2582,0.019,0.0292,0.0816,0.1275,0.3833,0.5,-0.0535,-0.2,2025-09-08,2025-09-07 19:42:04
NSLNISP.NS,0.6353,0.1989,0.0378,0.0616,0.0478,0.0966,0.3833,1.0,-0.074,0.0,2025-09-08,2025-09-07 19:42:05
TATASTEEL.NS,0.6347,0.2588,0.0452,0.0805,0.1045,0.076,0.55,0.5,0.1881,0.0,2025-09-08,2025-09-07 19:42:04
RAYMONDLSL.NS,0.6345,0.1817,0.1317,0.1839,0.0655,0.0827,0.4333,0.5,-0.4018,0.2,2025-09-08,2025-09-07 19:42:05
IDFCFIRSTB.NS,0.6312,0.1766,0.0135,0.0561,0.0399,0.1697,0.5,0.5,0.1359,0.0,2025-09-08,2025-09-07 19:42:04
EXIDEIND.NS,0.6294,0.0945,0.0687,0.104,0.0692,0.1191,0.4667,1.0,-0.0662,0.0,2025-09-08,2025-09-07 19:42:04
RCF.NS,0.6289,0.1832,0.0026,0.0845,-0.0041,0.18,0.4667,0.5,-0.0478,0.0,2025-09-08,2025-09-07 19:42:05
ALKEM.NS,0.6284,0.0868,0.1047,-0.0016,0.1265,0.0693,0.5833,1.0,-0.011,0.0,2025-09-08,2025-09-07 19:42:04
SPLPETRO.NS,0.6252,0.2641,-0.0924,0.0729,0.0412,0.1869,0.4167,0.5,0.1115,0.0,2025-09-08,2025-09-07 19:42:05
VIJAYA.NS,0.6248,0.1119,0.1137,0.0561,0.1226,0.05,0.4667,1.0,-0.0383,0.2,2025-09-08,2025-09-07 19:42:05
ADANIPOWER.NS,0.6248,0.1256,0.0556,0.0449,0.0895,0.0924,0.4667,1.0,0.1668,0.4,2025-09-08,2025-09-07 19:42:04
BIKAJI.NS,0.6237,0.1209,0.0685,0.1104,0.0717,0.0961,0.3833,1.0,-0.0122,-0.2,2025-09-08,2025-09-07 19:42:04
PRUDENT.NS,0.6229,0.2155,0.0092,0.0109,-0.0139,0.1968,0.4833,0.0,-0.1021,0.4,2025-09-08,2025-09-07 19:42:05
CHENNPETRO.NS,0.6222,0.1416,0.0531,0.1084,0.0488,0.142,0.4833,0.5,0.1377,0.0,2025-09-08,2025-09-07 19:42:05
IIFL.NS,0.6221,0.3117,-0.0878,-0.0129,-0.0471,0.2093,0.4833,0.0,0.0375,0.2,2025-09-08,2025-09-07 19:42:04
IFBIND.NS,0.62,0.1326,-0.0413,0.1771,-0.0203,0.1813,0.4,1.0,-0.0941,-0.2,2025-09-08,2025-09-07 19:42:05
